disease_name	disease_id	1049-953_cmpd_diff	1150-1049_cmpd_diff	1250-1150_cmpd_diff	1350-1250_cmpd_diff	1450-1350_cmpd_diff	1550-1450_cmpd_diff	1650-1550_cmpd_diff	1750-1650_cmpd_diff	1852-1750_cmpd_diff	1950-1852_cmpd_diff	2050-1950_cmpd_diff	2150-2050_cmpd_diff	2250-2150_cmpd_diff	2294-2250_cmpd_diff	1049-953_top10_diff	1150-1049_top10_diff	1250-1150_top10_diff	1350-1250_top10_diff	1450-1350_top10_diff	1550-1450_top10_diff	1650-1550_top10_diff	1750-1650_top10_diff	1852-1750_top10_diff	1950-1852_top10_diff	2050-1950_top10_diff	2150-2050_top10_diff	2250-2150_top10_diff	2294-2250_top10_diff
Liver Failure, Acute	MESH:D017114		0	2	2	2	0	1	0	0	1	2	0	1	0		0	0	0	0	0	0	0	0	0	16.6	0	-1.3	0
Urinary Retention	MESH:D016055		0	1	2	2	1	1	1	2	0	1	0	0	0		0	0	0	0	0	0	0	33.3	0	-2.6	0	0	0
Urination Disorders	MESH:D014555	0	0	1	3	2	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	20	0	-3.4	0	-1.3	0
Thromboembolism	MESH:D013923	2	0	1	1	1	0	1	1	2	2	0	0	0	0	25	0	-15	-26.7	-4.8	0	9	-4.2	3	2.1	0	0	0	0
Syncope	MESH:D013575				0	0	2	3	1	2	2	0	0	0	0				0	0	-6.6	-22.5	-4.2	12.1	-7	0	0	0	0
Sexual Dysfunction, Physiological	MESH:D012735			1	3	1	1	1	0	1	1	2	0	0	0			0	0	0	0	0	0	0	18.1	-2.8	0	0	0
Rosacea	MESH:D012393				1	0	2	1	1	1	1	0	1	2	0				50	0	0	-7.2	19.7	-7	14.5	0	2.7	-3.5	0
Periodontitis	MESH:D010518	0	0	5	1	1	0	1	0	0	1	0	0	0	0	0	0	0	20	7.2	0	-2.2	0	0	-2	0	0	0	0
Polyarteritis Nodosa	MESH:D010488		2	0	1	2	1	0	4	0	1	0	0	0	0		0	0	0	14.2	-14.2	0	25	-8.4	-1.3	0	0	0	0
Otitis Media	MESH:D010033			1	2	2	1	2	0	1	2	0	0	0	0			0	20	-5.8	-1.7	17.5	0	15.4	8.4	0	0	0	0
Neural Tube Defects	MESH:D009436	0	0	5	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	16.6	0	-1.3	0
Leishmaniasis, Visceral	MESH:D007898	0	0	0	1	0	1	2	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leiomyoma	MESH:D007889		1	0	0	2	3	0	1	1	1	1	0	1	0		0	0	0	40	-15	-12.5	20.8	-3.3	-2.8	14.4	0	4.5	0
Kidney Neoplasms	MESH:D007680	0	0	0	1	1	0	0	4	1	2	0	1	1	0	0	0	0	0	0	0	0	25	-2.8	-4.1	0	-1.5	-1.3	0
Herpes Simplex	MESH:D006561	1	0	1	3	1	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	40	0	0	-12.8	0	-2.2	0	-2
Erythema	MESH:D004890	0	0	2	1	0	1	0	4	0	1	1	0	1	0	0	0	0	20	0	-3.4	0	33.4	-10	-3.7	-3	0	-2.6	0
Endocarditis	MESH:D004696	0	2	0	0	1	2	0	2	3	0	0	1	0	0	0	0	0	0	-10	-11.5	0	15.9	-11.1	0	0	12.8	0	0
Emphysema	MESH:D004646	0	1	0	1	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cerebrovascular Disorders	MESH:D002561	0	1	2	2	1	0	3	0	0	2	0	0	0	0	0	0	40	-11.5	-3.5	0	-6.9	0	0	12.6	0	0	0	0
Cellulitis	MESH:D002481			1	0	0	3	2	1	0	1	1	1	0	1			0	0	0	33.3	16.7	-5.6	0	-4.4	-3.7	5.3	0	-3.2
Cataplexy	MESH:D002385		1	1	2	0	2	1	1	0	1	0	2	0	0		-33.4	8.4	-41.7	0	29.2	4.1	-6.6	-10	-4.6	0	0.7	0	0
Bronchitis	MESH:D001991	0	1	1	1	0	2	3	2	0	1	0	0	0	0	0	66.6	-16.6	30	0	-8.6	-21.4	16.6	0	-5.1	0	0	0	0
Arthritis, Infectious	MESH:D001170	0	2	2	1	3	1	0	0	1	1	0	0	0	0	0	50	0	-7.2	-12.8	-2.8	-9.1	-9.01	-0.76	-0.64	0	0	0	0
Anemia, Sickle Cell	MESH:D000755				3	1	0	1	3	1	1	0	0	0	0				0	0	0	25	-6.9	-1.5	-1.3	0	0	0	0
Amyotrophic Lateral Sclerosis	MESH:D000690				1	0	1	1	2	1	1	1	1	1	1				0	0	0	0	0	0	0	20	-1.9	-1.5	-1.3
Prostatic Neoplasms, Castration-Resistant	MESH:D064129	0	0	0	0	1	2	1	1	1	0	1	1	1	0	0	0	0	-33.3	-33.3	16.6	-2.4	-1.7	-1.4	-11.1	30	6.3	5.3	0
Neointima	MESH:D058426	0	0	0	1	1	1	2	0	0	1	2	0	0	1	0	0	0	50	10	-10	-12.5	0	0	-4.2	-6.1	0	0	-2.2
Diabetic Cardiomyopathies	MESH:D058065	0	1	2	0	0	0	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Primary Myelofibrosis	MESH:D055728		1	0	0	2	0	0	1	1	1	2	0	2	0		0	0	0	20	-20	0	0	0	0	20	0	21.6	0
Intracranial Hypertension	MESH:D019586					4	1	1	1	1	0	0	0	1	0					0	12.5	-1.4	-1.1	17.2	0	-9.1	0	-1.5	0
Chromosome Breakage	MESH:D019457	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	-3.5	-2.8	0	-2.2	0	0	-10	17.2	0	-2.2	0
Hematologic Neoplasms	MESH:D019337					1	0	1	3	0	2	0	0	1	1					0	0	40	10	0	10	0	0	3.6	-13.6
Tuberculosis, Pulmonary	MESH:D014397		0	1	1	0	1	0	1	2	1	0	0	1	0		0	-10	-6.7	0	-4.8	0	-3.5	25	-4.6	0	0	-3.8	0
Thyrotoxicosis	MESH:D013971				1	1	1	2	2	0	0	0	1	0	0				0	0	0	0	18.1	0	0	0	-1.5	0	0
Sneezing	MESH:D012912		1	0	2	1	3	0	0	0	1	1	0	1	0		0	0	40	-6.7	-11.1	0	0	0	-2.2	-1.9	0	-1.5	0
Scleroderma, Systemic	MESH:D012595		0	0	1	1	1	2	4	1	0	0	0	0	0		0	0	0	25	-25	0	27.2	-10.6	0	0	0	0	0
Sarcoma, Experimental	MESH:D012513	0	0	2	0	0	1	0	1	0	1	1	0	3	0	0	0	40	0	0	-6.7	0	-4.8	0	9	-4.2	0	8.3	0
Salmonella Infections	MESH:D012480	0	1	0	0	2	3	1	0	1	1	0	1	0	0	0	66.6	0	0	-26.6	22.5	15.2	0	-17.7	3.6	0	3	0	-8.3
Reflex Sympathetic Dystrophy	MESH:D012019			1	0	3	0	0	2	1	1	1	1	0	0			0	0	16.6	0	0	-4.1	-1.4	-1.1	-0.91	-0.76	0	0
Nystagmus, Pathologic	MESH:D009759		3	1	1	1	1	2	0	1	0	0	0	0	0		20	-3.4	-2.4	23.3	-4.2	-6.1	-9.1	-1.5	0	0	0	0	0
Nephritis	MESH:D009393	0	0	0	2	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	33.3	0	-3.3	-13.4	0	0	0
Meningitis, Haemophilus	MESH:D008583	1	1	0	0	2	1	0	2	0	1	0	1	0	1	0	0	0	0	33.3	23.8	0	31.7	0	1.2	0	0.9	-9.1	-6.8
Meniere Disease	MESH:D008575	1	0	0	1	1	2	2	1	0	1	0	0	0	0	-8.3	0	-25	0	33.3	-8.3	15	-3.7	0	-3	0	0	-8.3	0
Hyperthyroidism	MESH:D006980	1	0	1	3	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33	0	0	0	0	0	0
Gastrointestinal Hemorrhage	MESH:D006471	0	1	2	1	2	1	0	1	0	2	0	0	0	0	0	0	40	10	-12.5	-4.2	0	-3.3	0	11.6	0	0	0	0
Hemolysis	MESH:D006461	1	1	1	0	1	0	0	0	1	0	0	1	0	0	-21.5	-3.5	19.4	0	-4.4	0	0	0	14.5	0	0	3.8	0	0
Dermatomycoses	MESH:D003881		0	1	3	0	1	1	0	2	2	0	0	0	0		0	0	0	0	0	25	0	-5	-3.4	0	0	0	0
Cerebral Infarction	MESH:D002544	0	1	1	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	18.1	0	-1.5	0	0
Burns	MESH:D002056				1	3	0	1	0	1	2	0	0	0	1				-16.6	-21.5	0	-3.5	0	-2.8	5	0	0	0	-2.2
Blepharoptosis	MESH:D001763	0	0	1	3	0	3	1	1	0	0	0	0	1	0	0	0	-16.7	33.3	0	0	-6.6	-5.5	0	0	0	0	12.1	0
Affective Disorders, Psychotic	MESH:D000341	1	0	3	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33	0	0	0	0	0	0	0	0
Adenocarcinoma of Lung	MESH:D000077192									4	1	1	1	2	0									57.1	-7.1	5.5	14.5	-3.4	0
Leukoencephalopathies	MESH:D056784					1	1	1	3	0	1	1	1	0	0					0	0	0	0	0	0	20	-1.9	0	0
Neuralgia, Postherpetic	MESH:D051474				2	2	0	0	2	2	0	0	0	0	0				20	-5.8	0	0	-3.1	-2.01	0	0	0	0	0
Micronuclei, Chromosome-Defective	MESH:D048629	0	0	1	1	1	0	0	1	0	1	1	1	1	0	0	0	-16.6	10	-10	0	0	-21.5	0	9	6.9	-4.4	-3.7	0
Mitochondrial Diseases	MESH:D028361	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	-4.8	0	0	1.5	-10	0	0	0	0	-1.9	0
Coronary Stenosis	MESH:D023921				1	2	2	0	2	1	1	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0
Lymphoma, Mantle-Cell	MESH:D020522			0	0	0	1	0	2	0	1	1	2	2	0			0	0	0	0	0	0	0	33.3	-4.8	-6.3	-13.11	-9.09
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	MESH:D015452			0	1	1	2	1	2	0	1	0	1	0	0			0	0	25	41.6	19.1	-19.1	0	-6.6	-10	-4.6	0	0
Wounds and Injuries	MESH:D014947	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	50	-7.2	-5.3	-4.2	-3.3	-2.8	0	0	0	0	0
Urologic Diseases	MESH:D014570						1	0	1	2	0	1	0	3	0						25	0	-5	8.5	0	21.5	0	4.5	0
Urinary Incontinence	MESH:D014549			1	1	0	1	0	1	1	1	1	0	2	0			0	50	0	-10	0	-6.7	-4.8	-3.5	19.4	0	-8.1	0
Uremia	MESH:D014511	1	0	1	2	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	28.5	0	0	-3.5	19.4	-8.1	0	0	0
Spondylitis, Ankylosing	MESH:D013167		1	0	3	3	0	0	2	0	0	0	0	0	0		0	0	50	16.6	0	0	-12.1	0	0	0	0	0	0
Respiratory Distress Syndrome, Adult	MESH:D012128	0	0	1	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18.1	0	0	0	0	0
Reflex, Abnormal	MESH:D012021	2	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paresis	MESH:D010291				1	0	0	1	3	1	2	1	0	0	0				0	0	0	0	28.5	-3.5	15	14.5	0	0	0
Nephrosis	MESH:D009401	3	0	0	0	1	1	0	1	2	0	1	0	0	0	40	0	0	0	-6.7	-4.8	0	-3.5	-5	0	16.3	0	0	0
Mycobacterium Infections	MESH:D009164					0	1	0	0	3	1	1	1	2	0					0	66.6	0	0	-33.3	23.8	5.4	15.2	-14.1	0
Liver Cirrhosis, Biliary	MESH:D008105						1	1	1	2	2	2	0	0	0						0	0	0	0	0	0	0	0	0
Intestinal Neoplasms	MESH:D007414	1	0	2	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	11.1	0	-1.1	0	0	-0.91	0	0	0
Influenza, Human	MESH:D007251	0	2	3	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	22.2	0	-4.1	0	0	0	0	0
Infant, Premature, Diseases	MESH:D007235				1	3	2	0	1	1	0	0	0	0	0				0	0	22.2	0	7.8	-2.8	0	0	0	0	0
Hyponatremia	MESH:D007010					3	2	0	1	0	1	1	0	0	0					33.3	-8.3	0	19.4	0	15.6	-5.5	0	0	0
Hyperkalemia	MESH:D006947						0	2	2	1	1	0	2	0	0						0	0	0	0	0	0	0	0	0
Heroin Dependence	MESH:D006556				0	0	0	2	1	0	2	1	1	1	0				0	0	0	0	0	0	0	0	30	15.4	0
Hepatolenticular Degeneration	MESH:D006527	0	0	4	0	1	0	0	2	1	0	0	0	1	0	0	0	16.6	0	-2.4	0	0	-3.1	8.9	0	0	0	-10.91	0
Heart Block	MESH:D006327			2	1	1	1	1	2	1	0	0	0	0	0			0	0	0	0	0	0	18.1	0	0	0	0	0
Gonorrhea	MESH:D006069	1	1	0	0	0	4	0	0	2	0	0	1	0	0	0	0	0	0	0	50	0	0	-10	-10	0	6.3	0	0
Gliosis	MESH:D005911	0	0	1	1	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	22.2	-4.1	0	0	0
Esophagitis, Peptic	MESH:D004942	0	0	3	2	0	1	1	0	0	2	0	0	0	0	0	0	60	-2.9	0	5.4	-7	0	0	17.2	0	0	0	0
Drug Hypersensitivity	MESH:D004342			0	3	2	0	1	3	0	0	0	0	0	0			0	0	0	0	0	9.09	0	0	0	0	0	0
Dog Diseases	MESH:D004283	0	0	0	2	0	0	1	0	1	0	0	1	1	0	0	0	0	-11.5	0	0	-3.5	0	-13.9	0	0	8.9	-1.9	0
Demyelinating Diseases	MESH:D003711	0	0	1	1	1	2	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Consciousness Disorders	MESH:D003244	1	0	1	4	0	0	1	0	2	0	0	0	0	0	33.3	0	-8.3	12.5	0	0	-4.2	0	-6.1	0	0	0	0	0
Central Nervous System Diseases	MESH:D002493	1	1	0	0	1	2	1	1	2	0	0	0	0	0	0	25	0	0	-5	-5.8	-1.7	-1.4	-2.01	-9.09	0	0	0	0
Cardiac Output, Low	MESH:D002303	0	1	0	0	1	0	2	2	0	3	0	0	0	0	0	0	0	0	0	0	66.6	-16.6	0	-13.7	0	0	0	0
Cachexia	MESH:D002100	0	0	1	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	22.2	7.8	-2.8	0	0	0	0	0	0	0
Ascites	MESH:D001201	0	0	0	1	2	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09	0	0	0	0
Anemia, Aplastic	MESH:D000741	1	0	1	1	1	1	0	2	1	1	0	0	0	0	33.3	0	-8.3	-5	13.3	-4.8	-14.3	19.1	16.7	-4.6	0	0	0	0
Airway Obstruction	MESH:D000402	0	0	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18.1	0	0	0	0	0	0	0
Acquired Immunodeficiency Syndrome	MESH:D000163			0	1	2	0	2	1	1	0	1	0	1	0			0	0	60	0	11.4	-8.9	-7	0	4.5	-10	-4.6	0
Asthenozoospermia	MESH:D053627	0	0	1	1	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	12.5	0	7.5	0	0
Carcinoma, Lewis Lung	MESH:D018827	0	1	0	1	2	0	1	1	2	0	0	0	0	0	0	0	0	0	16.6	0	-2.4	-1.7	7.5	-10	0	0	0	0
Disease Progression	MESH:D018450	0	0	2	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adrenocortical Carcinoma	MESH:D018268			0	1	1	0	1	0	0	1	0	2	2	0			0	0	0	0	0	0	0	16.6	0	-4.1	-2.5	0
Central Nervous System Neoplasms	MESH:D016543						1	0	3	0	2	1	0	1	0						0	0	0	0	0	0	0	0	0
Lymphoma, AIDS-Related	MESH:D016483			0	1	1	1	0	2	0	1	1	0	0	0			0	-8.3	15	-6.7	0	-8.3	0	-2.8	-2.2	0	0	0
Mydriasis	MESH:D015878		1	1	2	3	0	0	0	0	1	0	0	0	0		0	25	-8.4	-5.5	0	0	0	0	-1.1	-10	0	0	0
Arthritis, Gouty	MESH:D015210		1	1	3	1	0	1	0	1	0	0	0	0	0		0	0	28.5	-3.5	0	-2.8	0	-2.2	0	0	0	0	0
Vision Disorders	MESH:D014786					0	1	1	1	1	0	2	1	1	0					0	0	50	-10	-6.7	0	-8.3	-2.8	-2.2	0
Uterine Neoplasms	MESH:D014594					0	1	0	3	1	2	1	0	0	0					0	0	0	0	28.5	-6.3	17.8	0	0	0
Thrombocythemia, Essential	MESH:D013920		0	1	0	0	0	0	3	2	1	0	0	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0
Synovitis	MESH:D013585		0	0	3	0	0	0	3	1	0	0	0	1	0		0	0	40	0	0	0	-15	-2.8	0	0	0	-2.2	0
Surgical Wound Infection	MESH:D013530		1	0	0	0	1	1	4	0	0	0	1	0	0		0	0	0	0	0	20	24.4	0	0	0	5.6	0	0
Splenomegaly	MESH:D013163			0	0	0	1	0	2	0	1	2	0	2	0			0	0	0	0	0	0	0	0	0	0	10	0
Radiation Injuries	MESH:D011832	1	0	2	2	0	1	1	0	1	0	0	0	0	0	0	0	40	2.8	0	-5.3	6.9	0	5.6	0	0	0	0	0
Pharyngitis	MESH:D010612				1	3	0	2	0	0	0	1	0	0	0				50	-21.5	0	-6.3	0	0	0	-2.2	-10	0	0
Oligospermia	MESH:D009845	0	0	2	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	11.1	0	-1.1	0	0
Neuroleptic Malignant Syndrome	MESH:D009459				2	0	3	2	0	0	0	0	1	0	0				25	0	32.1	-23.8	0	-11.1	0	0	7.8	0	0
Myocarditis	MESH:D009205	1	1	0	1	2	0	1	1	0	0	1	0	0	0	0	0	0	0	14.2	-14.2	0	22.2	0	0	-2.2	0	0	0
Leishmaniasis	MESH:D007896	0	0	0	0	0	0	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Infertility, Male	MESH:D007248	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	25	-2.8	-2.2	0	0	0
Hypoglycemia	MESH:D007003		0	2	0	2	1	0	0	0	0	2	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
Hypertension, Portal	MESH:D006975	0	0	1	0	3	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyperlipoproteinemias	MESH:D006951		0	2	1	1	0	0	2	0	1	0	1	0	0		0	0	20	30	0	0	-12.5	0	-15.3	0	-2.2	0	0
Fish Diseases	MESH:D005393	0	0	2	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibromyalgia	MESH:D005356				1	0	0	0	1	2	2	1	1	0	0				0	0	0	0	0	0	0	0	0	0	0
Fatigue	MESH:D005221					0	2	1	1	1	1	1	1	0	0					0	0	0	0	0	0	0	0	0	0
Exanthema	MESH:D005076		0	0	2	2	1	0	1	0	0	1	1	0	0		0	0	0	16.6	-16.6	0	0	0	0	0	10	0	0
Epilepsy, Temporal Lobe	MESH:D004833				3	0	1	3	1	0	0	0	0	0	0				0	0	0	44.4	5.6	-10	0	-10	0	0	0
Drug Eruptions	MESH:D003875			1	2	4	0	0	0	0	0	1	0	0	0			0	20	13.3	0	0	0	0	0	-3.3	0	0	0
Cushing Syndrome	MESH:D003480			0	3	1	0	1	0	0	0	1	1	1	0			0	0	0	0	28.5	0	0	0	-16	-1.4	-1.1	0
Coronary Vasospasm	MESH:D003329	0	2	2	1	0	1	1	0	0	0	0	0	0	0	0	40	-11.5	-3.5	0	-2.8	-2.2	0	0	0	0	0	0	0
Constipation	MESH:D003248			0	3	0	1	2	0	1	1	0	0	0	0			0	0	0	0	25	0	-2.8	-2.2	0	0	0	0
Carcinoma, Bronchogenic	MESH:D002283						0	0	4	0	2	0	1	1	0						0	0	33.3	0	16.7	0	-5.6	-4.4	0
Bronchopneumonia	MESH:D001996	2	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	25	-2.8	0	7.8	0	0
Behcet Syndrome	MESH:D001528					1	0	1	2	1	0	1	0	1	0					25	-25	0	0	0	0	0	0	0	0
Aspergillosis	MESH:D001228					0	1	1	0	3	1	2	0	0	0					0	0	50	0	7.1	17.9	-5	0	-10	0
Arthritis, Juvenile	MESH:D001171				1	3	0	1	2	1	0	0	0	0	0				0	66.6	-16.6	-7.2	-9.5	-3.3	0	0	0	0	0
Abnormalities, Drug-Induced	MESH:D000014	0	0	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nociceptive Pain	MESH:D059226	0	0	1	1	2	0	1	0	0	0	1	1	0	0	0	0	0	25	-8.4	0	11.9	0	0	0	9	-4.2	0	0
Aberrant Crypt Foci	MESH:D058739	0	0	1	2	0	1	0	0	0	0	1	1	0	0	0	0	0	33.3	0	-4.8	0	0	0	0	-3.5	-2.8	0	0
Atrioventricular Block	MESH:D054537			0	0	1	0	2	3	1	0	0	0	0	0			0	0	0	0	0	25	8.3	0	0	0	0	0
Hypoalphalipoproteinemias	MESH:D052456				0	2	1	0	2	0	0	0	1	0	0				0	0	16.6	0	8.4	0	0	0	-2.8	0	0
Mucositis	MESH:D052016	0	0	1	2	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22.2	0	0	0
Premature Birth	MESH:D047928		0	2	1	1	0	3	0	0	0	0	0	0	0		0	25	-5	30	0	5.5	0	0	0	0	-11.1	0	0
Sphincter of Oddi Dysfunction	MESH:D046628					0	1	1	2	1	0	1	0	0	0					0	0	40	17.1	-7.1	0	-5.6	0	0	0
Hypertension, Pregnancy-Induced	MESH:D046110				4	0	0	1	1	0	0	1	0	0	0				0	0	0	0	0	0	0	0	0	0	0
Hyperammonemia	MESH:D022124					0	1	2	0	1	0	1	1	1	0					0	0	20	0	30	0	-7.2	7.2	16.6	0
Diabetes Insipidus, Nephrogenic	MESH:D018500			0	3	3	0	0	1	0	0	0	0	0	0			0	0	25	0	0	-2.8	0	0	0	0	0	0
Coronavirus Infections	MESH:D018352	0	0	0	0	2	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	16.6	0	-2.4	0	0	-1.7	-1.4	0
Carcinoma, Ductal, Breast	MESH:D018270			0	1	1	0	1	3	0	0	1	0	0	0			0	0	0	0	0	25	0	0	-2.8	0	0	0
Bronchial Hyperreactivity	MESH:D016535		0	2	1	1	2	1	0	0	0	0	0	0	0		0	0	0	0	37.5	-4.2	0	0	0	0	0	0	0
Arthritis, Psoriatic	MESH:D015535					0	0	1	3	1	0	0	0	1	0					0	0	0	28.5	-3.5	0	0	0	-2.8	0
Granulomatosis with Polyangiitis	MESH:D014890					1	0	0	4	1	0	0	0	0	0					0	0	0	25	-2.8	0	0	0	0	0
Vasculitis	MESH:D014657		0	0	2	2	0	1	2	0	0	0	0	0	0		0	0	50	0	-16.7	-4.8	15.9	0	0	0	0	0	0
Tic Disorders	MESH:D013981				2	1	1	0	0	0	1	0	1	0	1				0	0	0	0	0	0	0	0	0	0	0
Tachycardia, Paroxysmal	MESH:D013614	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	20	-3.4	-2.4	-1.7	0	-12.5	0	0	0
Spinal Cord Diseases	MESH:D013118	0	0	3	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22.2	0	0	0
Spasms, Infantile	MESH:D013036						2	4	1	0	0	0	0	0	0						25	50	-8.4	-11.1	0	-22.2	0	0	0
Sjogren's Syndrome	MESH:D012859		0	1	0	1	0	2	2	0	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
Shock, Hemorrhagic	MESH:D012771	1	2	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shock	MESH:D012769						1	1	1	2	0	0	0	1	0						0	20	-3.4	20.9	0	0	0	-4.2	0
Pneumonia, Staphylococcal	MESH:D011023			0	0	0	2	1	1	0	2	0	1	0	0			0	0	0	-50	-10	-23.4	0	-4.1	0	20.8	0	0
Pneumonia, Pneumocystis	MESH:D011020					2	0	3	2	0	0	0	0	0	0					0	0	0	22.2	0	0	0	0	0	0
Pemphigoid, Bullous	MESH:D010391				2	1	0	0	3	0	0	1	0	0	0				50	-10	0	0	-15	0	0	-2.8	0	0	0
Pancytopenia	MESH:D010198	1	0	0	0	1	0	1	1	1	0	1	0	0	0	8.4	0	0	0	5	0	-30	-7.2	19.7	0	-7	0	0	0
Neoplasm Recurrence, Local	MESH:D009364			1	0	1	1	0	2	1	0	0	0	1	0			0	0	0	0	0	0	0	0	0	0	0	0
Meningitis, Pneumococcal	MESH:D008586						3	0	0	1	1	0	2	0	0						0	0	0	0	28.5	0	15.9	0	0
Lymphatic Diseases	MESH:D008206		1	0	0	0	1	0	2	1	1	0	0	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0
Lupus Nephritis	MESH:D008181					1	1	0	2	1	0	0	0	1	0					25	35	0	-2.9	-7.1	0	-12.5	0	-4.2	0
Leiomyosarcoma	MESH:D007890			0	1	1	0	0	2	1	1	0	0	1	0			0	0	0	0	0	0	28.5	21.5	0	0	-5.6	0
Jaundice	MESH:D007565		0	0	1	0	2	1	0	1	2	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
Hyperprolactinemia	MESH:D006966					0	0	1	2	2	0	1	1	0	0					0	0	0	20	-5.8	0	-1.7	-1.4	0	0
Esophagitis	MESH:D004941				1	0	2	1	0	1	2	0	0	0	0				0	0	-40	-10	0	-7.2	12.7	0	0	0	0
Epilepsy, Generalized	MESH:D004829		0	1	3	0	0	1	1	0	0	1	0	0	0		0	0	0	0	0	0	12.5	0	0	20.8	0	0	0
Bronchopulmonary Dysplasia	MESH:D001997					0	3	1	1	1	1	0	0	0	0					0	60	-10	7.1	17.9	-8.4	0	0	0	0
Bronchial Spasm	MESH:D001986	0	2	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	33.3	-4.8	9	18	0	0	0	0	0	0
Bone Diseases	MESH:D001847				2	0	0	1	3	0	0	1	0	0	0				0	0	0	0	25	0	0	8.3	0	0	0
Autonomic Nervous System Diseases	MESH:D001342	0	0	1	0	2	0	1	1	0	1	1	0	0	0	0	0	-16.7	0	-13.3	0	-3.4	-2.4	0	-1.7	-1.4	0	0	0
Anemia, Hemolytic, Autoimmune	MESH:D000744		0	1	2	1	0	0	1	2	0	0	0	0	0		0	0	0	16.6	-16.6	0	0	0	0	0	0	0	0
Amyloidosis	MESH:D000686								1	0	0	0	0	2	0								0	0	0	0	0	0	0
Alcohol Withdrawal Delirium	MESH:D000430		0	3	1	0	2	0	1	0	0	0	0	0	0		0	0	0	0	37.5	0	-4.2	0	0	0	0	0	0
Acidosis	MESH:D000138				0	1	1	2	1	0	1	1	0	0	0				0	0	0	33.3	-4.8	0	-3.5	-2.8	0	0	0
Dystonic Disorders	MESH:D020821					1	3	2	0	0	0	0	0	0	0					0	33.3	4.2	0	0	0	0	0	0	0
Neurogenic Inflammation	MESH:D020078	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Motor Skills Disorders	MESH:D019957	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	40	0	0	0	0	-6.7	0	9.5	-5.3	0	0
