disease_name	disease_id	953_cmpds	1049_cmpds	1150_cmpds	1250_cmpds	1350_cmpds	1450_cmpds	1550_cmpds	1650_cmpds	1750_cmpds	1852_cmpds	1950_cmpds	2050_cmpds	2150_cmpds	2250_cmpds	2294_cmpds	953_top10	1049_top10	1150_top10	1250_top10	1350_top10	1450_top10	1550_top10	1650_top10	1750_top10	1852_top10	1950_top10	2050_top10	2150_top10	2250_top10	2294_top10
Hepatitis C, Chronic	MESH:D019698		2	2	2	4	6	7	7	7	7	7	9	13	13	13		0	0	0	0	33.3	57.1	57.1	57.1	57.1	57.1	44.4	53.8	53.8	53.8
Hot Flashes	MESH:D019584	2	3	3	4	5	6	8	10	11	11	11	12	12	13	13	0	0	0	0	0	0	0	20	18.1	18.1	18.1	33.3	33.3	38.4	38.4
Dermatitis, Allergic Contact	MESH:D017449	3	4	6	7	7	8	11	11	11	12	12	12	12	12	13	0	0	33.3	28.5	28.5	50	54.5	54.5	54.5	50	50	50	50	50	53.8
Liver Failure, Acute	MESH:D017114		2	2	4	6	8	8	9	9	9	10	12	12	13	13		0	0	0	0	0	0	0	0	0	0	16.6	16.6	15.3	15.3
Urinary Retention	MESH:D016055		2	2	3	5	7	8	9	10	12	12	13	13	13	13		0	0	0	0	0	0	0	0	33.3	33.3	30.7	30.7	30.7	30.7
Urination Disorders	MESH:D014555	2	2	2	3	6	8	8	8	9	10	10	12	12	13	13	0	0	0	0	0	0	0	0	0	20	20	16.6	16.6	15.3	15.3
Thromboembolism	MESH:D013923	2	4	4	5	6	7	7	8	9	11	13	13	13	13	13	50	75	75	60	33.3	28.5	28.5	37.5	33.3	36.3	38.4	38.4	38.4	38.4	38.4
Syncope	MESH:D013575				3	3	3	5	8	9	11	13	13	13	13	13				66.6	66.6	66.6	60	37.5	33.3	45.4	38.4	38.4	38.4	38.4	38.4
Sexual Dysfunction, Physiological	MESH:D012735			2	3	6	7	8	9	9	10	11	13	13	13	13			0	0	0	0	0	0	0	0	18.1	15.3	15.3	15.3	15.3
Rosacea	MESH:D012393				3	4	4	6	7	8	9	10	10	11	13	13				0	50	50	50	42.8	62.5	55.5	70	70	72.7	69.2	69.2
Periodontitis	MESH:D010518	4	4	4	9	10	11	11	12	12	12	13	13	13	13	13	0	0	0	0	20	27.2	27.2	25	25	25	23	23	23	23	23
Polyarteritis Nodosa	MESH:D010488		2	4	4	5	7	8	8	12	12	13	13	13	13	13		0	0	0	0	14.2	0	0	25	16.6	15.3	15.3	15.3	15.3	15.3
Otitis Media	MESH:D010033			2	3	5	7	8	10	10	11	13	13	13	13	13			0	0	20	14.2	12.5	30	30	45.4	53.8	53.8	53.8	53.8	53.8
Neural Tube Defects	MESH:D009436	4	4	4	9	9	9	10	11	11	11	11	12	12	13	13	0	0	0	0	0	0	0	0	0	0	0	16.6	16.6	15.3	15.3
Leishmaniasis, Visceral	MESH:D007898	5	5	5	5	6	6	7	9	9	10	10	11	12	12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leiomyoma	MESH:D007889		2	3	3	3	5	8	8	9	10	11	12	12	13	13		0	0	0	0	40	25	12.5	33.3	30	27.2	41.6	41.6	46.1	46.1
Kidney Neoplasms	MESH:D007680	2	2	2	2	3	4	4	4	8	9	11	11	12	13	13	0	0	0	0	0	0	0	0	25	22.2	18.1	18.1	16.6	15.3	15.3
Herpes Simplex	MESH:D006561	2	3	3	4	7	8	8	10	10	10	11	11	12	12	13	0	0	0	0	0	0	0	40	40	40	27.2	27.2	25	25	23
Erythema	MESH:D004890	2	2	2	4	5	5	6	6	10	10	11	12	12	13	13	0	0	0	0	20	20	16.6	16.6	50	40	36.3	33.3	33.3	30.7	30.7
Endocarditis	MESH:D004696	2	2	4	4	4	5	7	7	9	12	12	12	13	13	13	50	50	50	50	50	40	28.5	28.5	44.4	33.3	33.3	33.3	46.1	46.1	46.1
Emphysema	MESH:D004646	2	2	3	3	4	7	9	11	13	13	13	13	13	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cerebrovascular Disorders	MESH:D002561	2	2	3	5	7	8	8	11	11	11	13	13	13	13	13	0	0	0	40	28.5	25	25	18.1	18.1	18.1	30.7	30.7	30.7	30.7	30.7
Cellulitis	MESH:D002481			2	3	3	3	6	8	9	9	10	11	12	12	13			0	0	0	0	33.3	50	44.4	44.4	40	36.3	41.6	41.6	38.4
Cataplexy	MESH:D002385		2	3	4	6	6	8	9	10	10	11	11	13	13	13		100	66.6	75	33.3	33.3	62.5	66.6	60	50	45.4	45.4	46.1	46.1	46.1
Bronchitis	MESH:D001991	2	2	3	4	5	5	7	10	12	12	13	13	13	13	13	0	0	66.6	50	80	80	71.4	50	66.6	66.6	61.5	61.5	61.5	61.5	61.5
Arthritis, Infectious	MESH:D001170	2	2	4	6	7	10	11	11	11	12	13	13	13	13	13	0	0	50	50	42.8	30	27.2	18.1	9.09	8.33	7.69	7.69	7.69	7.69	7.69
Anemia, Sickle Cell	MESH:D000755				3	6	7	7	8	11	12	13	13	13	13	13				0	0	0	0	25	18.1	16.6	15.3	15.3	15.3	15.3	15.3
Amyotrophic Lateral Sclerosis	MESH:D000690				2	3	3	4	5	7	8	9	10	11	12	13				0	0	0	0	0	0	0	0	20	18.1	16.6	15.3
Prostatic Neoplasms, Castration-Resistant	MESH:D064129	3	3	3	3	3	4	6	7	8	9	9	10	11	12	12	66.6	66.6	66.6	66.6	33.3	0	16.6	14.2	12.5	11.1	0	30	36.3	41.6	41.6
Neointima	MESH:D058426	3	3	3	3	4	5	6	8	8	8	9	11	11	11	12	0	0	0	0	50	60	50	37.5	37.5	37.5	33.3	27.2	27.2	27.2	25
Diabetic Cardiomyopathies	MESH:D058065	3	3	4	6	6	6	6	8	9	9	10	11	11	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Primary Myelofibrosis	MESH:D055728		2	3	3	3	5	5	5	6	7	8	10	10	12	12		0	0	0	0	20	0	0	0	0	0	20	20	41.6	41.6
Intracranial Hypertension	MESH:D019586					3	7	8	9	10	11	11	11	11	12	12					0	0	12.5	11.1	10	27.2	27.2	18.1	18.1	16.6	16.6
Chromosome Breakage	MESH:D019457	7	7	7	7	8	9	9	10	10	10	10	11	11	12	12	28.5	28.5	28.5	28.5	25	22.2	22.2	20	20	20	10	27.2	27.2	25	25
Hematologic Neoplasms	MESH:D019337					3	4	4	5	8	8	10	10	10	11	12					0	0	0	40	50	50	60	60	60	63.6	50
Tuberculosis, Pulmonary	MESH:D014397		4	4	5	6	6	7	7	8	10	11	11	11	12	12		50	50	40	33.3	33.3	28.5	28.5	25	50	45.4	45.4	45.4	41.6	41.6
Thyrotoxicosis	MESH:D013971				4	5	6	7	9	11	11	11	11	12	12	12				0	0	0	0	0	18.1	18.1	18.1	18.1	16.6	16.6	16.6
Sneezing	MESH:D012912		2	3	3	5	6	9	9	9	9	10	11	11	12	12		0	0	0	40	33.3	22.2	22.2	22.2	22.2	20	18.1	18.1	16.6	16.6
Scleroderma, Systemic	MESH:D012595		2	2	2	3	4	5	7	11	12	12	12	12	12	12		0	0	0	0	25	0	0	27.2	16.6	16.6	16.6	16.6	16.6	16.6
Sarcoma, Experimental	MESH:D012513	3	3	3	5	5	5	6	6	7	7	8	9	9	12	12	0	0	0	40	40	40	33.3	33.3	28.5	28.5	37.5	33.3	33.3	41.6	41.6
Salmonella Infections	MESH:D012480	2	2	3	3	3	5	8	9	9	10	11	11	12	12	12	0	0	66.6	66.6	66.6	40	62.5	77.7	77.7	60	63.6	63.6	66.6	66.6	58.3
Reflex Sympathetic Dystrophy	MESH:D012019			2	3	3	6	6	6	8	9	10	11	12	12	12			0	0	0	16.6	16.6	16.6	12.5	11.1	10	9.09	8.33	8.33	8.33
Nystagmus, Pathologic	MESH:D009759		2	5	6	7	8	9	11	11	12	12	12	12	12	12		0	20	16.6	14.2	37.5	33.3	27.2	18.1	16.6	16.6	16.6	16.6	16.6	16.6
Nephritis	MESH:D009393	5	5	5	5	7	7	8	8	9	9	10	12	12	12	12	0	0	0	0	0	0	0	0	33.3	33.3	30	16.6	16.6	16.6	16.6
Meningitis, Haemophilus	MESH:D008583	2	3	4	4	4	6	7	7	9	9	10	10	11	11	12	0	0	0	0	0	33.3	57.1	57.1	88.8	88.8	90	90	90.9	81.8	75
Meniere Disease	MESH:D008575	3	4	4	4	5	6	8	10	11	11	12	12	12	12	12	33.3	25	25	0	0	33.3	25	40	36.3	36.3	33.3	33.3	33.3	25	25
Hyperthyroidism	MESH:D006980	2	3	3	4	7	7	7	9	12	12	12	12	12	12	12	0	0	0	0	0	0	0	0	8.33	8.33	8.33	8.33	8.33	8.33	8.33
Gastrointestinal Hemorrhage	MESH:D006471	2	2	3	5	6	8	9	9	10	10	12	12	12	12	12	0	0	0	40	50	37.5	33.3	33.3	30	30	41.6	41.6	41.6	41.6	41.6
Hemolysis	MESH:D006461	6	7	8	9	9	10	10	10	10	11	11	11	12	12	12	50	28.5	25	44.4	44.4	40	40	40	40	54.5	54.5	54.5	58.3	58.3	58.3
Dermatomycoses	MESH:D003881		2	2	3	6	6	7	8	8	10	12	12	12	12	12		0	0	0	0	0	0	25	25	20	16.6	16.6	16.6	16.6	16.6
Cerebral Infarction	MESH:D002544	4	4	5	6	7	7	9	9	10	10	11	11	12	12	12	0	0	0	0	0	0	0	0	0	0	18.1	18.1	16.6	16.6	16.6
Burns	MESH:D002056				3	4	7	7	8	8	9	11	11	11	11	12				66.6	50	28.5	28.5	25	25	22.2	27.2	27.2	27.2	27.2	25
Blepharoptosis	MESH:D001763	2	2	2	3	6	6	9	10	11	11	11	11	11	12	12	50	50	50	33.3	66.6	66.6	66.6	60	54.5	54.5	54.5	54.5	54.5	66.6	66.6
Affective Disorders, Psychotic	MESH:D000341	2	3	3	6	8	8	12	12	12	12	12	12	12	12	12	0	0	0	0	0	0	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33
Adenocarcinoma of Lung	MESH:D000077192									3	7	8	9	10	12	12									0	57.1	50	55.5	70	66.6	66.6
Leukoencephalopathies	MESH:D056784					2	3	4	5	8	8	9	10	11	11	11					0	0	0	0	0	0	0	20	18.1	18.1	18.1
Neuralgia, Postherpetic	MESH:D051474				3	5	7	7	7	9	11	11	11	11	11	11				0	20	14.2	14.2	14.2	11.1	9.09	9.09	9.09	9.09	9.09	9.09
Micronuclei, Chromosome-Defective	MESH:D048629	3	3	3	4	5	6	6	6	7	7	8	9	10	11	11	66.6	66.6	66.6	50	60	50	50	50	28.5	28.5	37.5	44.4	40	36.3	36.3
Mitochondrial Diseases	MESH:D028361	6	6	6	6	7	7	7	10	10	10	10	10	10	11	11	33.3	33.3	33.3	33.3	28.5	28.5	28.5	30	20	20	20	20	20	18.1	18.1
Coronary Stenosis	MESH:D023921				2	3	5	7	7	9	10	11	11	11	11	11				0	0	0	0	0	0	0	0	0	0	0	0
Lymphoma, Mantle-Cell	MESH:D020522			2	2	2	2	3	3	5	5	6	7	9	11	11			0	0	0	0	0	0	0	0	33.3	28.5	22.2	9.09	0
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	MESH:D015452			2	2	3	4	6	7	9	9	10	10	11	11	11			0	0	0	25	66.6	85.7	66.6	66.6	60	50	45.4	45.4	45.4
Wounds and Injuries	MESH:D014947	4	4	4	5	6	7	8	9	10	11	11	11	11	11	11	0	0	0	0	50	42.8	37.5	33.3	30	27.2	27.2	27.2	27.2	27.2	27.2
Urologic Diseases	MESH:D014570						3	4	4	5	7	7	8	8	11	11						0	25	25	20	28.5	28.5	50	50	54.5	54.5
Urinary Incontinence	MESH:D014549			2	3	4	4	5	5	6	7	8	9	9	11	11			0	0	50	50	40	40	33.3	28.5	25	44.4	44.4	36.3	36.3
Uremia	MESH:D014511	2	3	3	4	6	6	7	7	7	8	9	11	11	11	11	0	0	0	0	0	0	28.5	28.5	28.5	25	44.4	36.3	36.3	36.3	36.3
Spondylitis, Ankylosing	MESH:D013167		2	3	3	6	9	9	9	11	11	11	11	11	11	11		0	0	0	50	66.6	66.6	66.6	54.5	54.5	54.5	54.5	54.5	54.5	54.5
Respiratory Distress Syndrome, Adult	MESH:D012128	4	4	4	5	6	7	9	10	10	11	11	11	11	11	11	0	0	0	0	0	0	0	0	0	18.1	18.1	18.1	18.1	18.1	18.1
Reflex, Abnormal	MESH:D012021	3	5	6	6	7	8	8	8	9	9	10	10	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paresis	MESH:D010291				2	3	3	3	4	7	8	10	11	11	11	11				0	0	0	0	0	28.5	25	40	54.5	54.5	54.5	54.5
Nephrosis	MESH:D009401	2	5	5	5	5	6	7	7	8	10	10	11	11	11	11	0	40	40	40	40	33.3	28.5	28.5	25	20	20	36.3	36.3	36.3	36.3
Mycobacterium Infections	MESH:D009164					2	2	3	3	3	6	7	8	9	11	11					0	0	66.6	66.6	66.6	33.3	57.1	62.5	77.7	63.6	63.6
Liver Cirrhosis, Biliary	MESH:D008105						2	3	4	5	7	9	11	11	11	11						0	0	0	0	0	0	0	0	0	0
Intestinal Neoplasms	MESH:D007414	3	4	4	6	6	8	9	9	10	10	10	11	11	11	11	0	0	0	0	0	0	11.1	11.1	10	10	10	9.09	9.09	9.09	9.09
Influenza, Human	MESH:D007251	2	2	4	7	7	7	8	9	9	11	11	11	11	11	11	0	0	0	0	0	0	0	22.2	22.2	18.1	18.1	18.1	18.1	18.1	18.1
Infant, Premature, Diseases	MESH:D007235				3	4	7	9	9	10	11	11	11	11	11	11				0	0	0	22.2	22.2	30	27.2	27.2	27.2	27.2	27.2	27.2
Hyponatremia	MESH:D007010					3	6	8	8	9	9	10	11	11	11	11					0	33.3	25	25	44.4	44.4	60	54.5	54.5	54.5	54.5
Hyperkalemia	MESH:D006947						3	3	5	7	8	9	9	11	11	11						0	0	0	0	0	0	0	0	0	0
Heroin Dependence	MESH:D006556				3	3	3	3	5	6	6	8	9	10	11	11				0	0	0	0	0	0	0	0	0	30	45.4	45.4
Hepatolenticular Degeneration	MESH:D006527	2	2	2	6	6	7	7	7	9	10	10	10	10	11	11	0	0	0	16.6	16.6	14.2	14.2	14.2	11.1	20	20	20	20	9.09	9.09
Heart Block	MESH:D006327			2	4	5	6	7	8	10	11	11	11	11	11	11			0	0	0	0	0	0	0	18.1	18.1	18.1	18.1	18.1	18.1
Gonorrhea	MESH:D006069	2	3	4	4	4	4	8	8	8	10	10	10	11	11	11	0	0	0	0	0	0	50	50	50	40	30	30	36.3	36.3	36.3
Gliosis	MESH:D005911	4	4	4	5	6	7	7	7	8	8	9	11	11	11	11	0	0	0	0	0	0	0	0	0	0	22.2	18.1	18.1	18.1	18.1
Esophagitis, Peptic	MESH:D004942	2	2	2	5	7	7	8	9	9	9	11	11	11	11	11	0	0	0	60	57.1	57.1	62.5	55.5	55.5	55.5	72.7	72.7	72.7	72.7	72.7
Drug Hypersensitivity	MESH:D004342			2	2	5	7	7	8	11	11	11	11	11	11	11			0	0	0	0	0	0	9.09	9.09	9.09	9.09	9.09	9.09	9.09
Dog Diseases	MESH:D004283	5	5	5	5	7	7	7	8	8	9	9	9	10	11	11	40	40	40	40	28.5	28.5	28.5	25	25	11.1	11.1	11.1	20	18.1	18.1
Demyelinating Diseases	MESH:D003711	2	2	2	3	4	5	7	8	8	8	8	10	10	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Consciousness Disorders	MESH:D003244	2	3	3	4	8	8	8	9	9	11	11	11	11	11	11	0	33.3	33.3	25	37.5	37.5	37.5	33.3	33.3	27.2	27.2	27.2	27.2	27.2	27.2
Central Nervous System Diseases	MESH:D002493	2	3	4	4	4	5	7	8	9	11	11	11	11	11	11	0	0	25	25	25	20	14.2	12.5	11.1	9.09	0	0	0	0	0
Cardiac Output, Low	MESH:D002303	2	2	3	3	3	4	4	6	8	8	11	11	11	11	11	0	0	0	0	0	0	0	66.6	50	50	36.3	36.3	36.3	36.3	36.3
Cachexia	MESH:D002100	3	3	3	4	5	9	10	11	11	11	11	11	11	11	11	0	0	0	0	0	22.2	30	27.2	27.2	27.2	27.2	27.2	27.2	27.2	27.2
Ascites	MESH:D001201	4	4	4	4	5	7	7	7	9	10	11	11	11	11	11	0	0	0	0	0	0	0	0	0	0	9.09	9.09	9.09	9.09	9.09
Anemia, Aplastic	MESH:D000741	2	3	3	4	5	6	7	7	9	10	11	11	11	11	11	0	33.3	33.3	25	20	33.3	28.5	14.2	33.3	50	45.4	45.4	45.4	45.4	45.4
Airway Obstruction	MESH:D000402	3	3	3	5	5	7	9	11	11	11	11	11	11	11	11	0	0	0	0	0	0	0	18.1	18.1	18.1	18.1	18.1	18.1	18.1	18.1
Acquired Immunodeficiency Syndrome	MESH:D000163			2	2	3	5	5	7	8	9	9	10	10	11	11			0	0	0	60	60	71.4	62.5	55.5	55.5	60	50	45.4	45.4
Asthenozoospermia	MESH:D053627	3	3	3	4	5	5	5	6	7	7	8	8	10	10	10	0	0	0	0	0	0	0	0	0	0	12.5	12.5	20	20	20
Carcinoma, Lewis Lung	MESH:D018827	2	2	3	3	4	6	6	7	8	10	10	10	10	10	10	0	0	0	0	0	16.6	16.6	14.2	12.5	20	10	10	10	10	10
Disease Progression	MESH:D018450	2	2	2	4	4	4	4	4	7	9	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adrenocortical Carcinoma	MESH:D018268			2	2	3	4	4	5	5	5	6	6	8	10	10			0	0	0	0	0	0	0	0	16.6	16.6	12.5	10	10
Central Nervous System Neoplasms	MESH:D016543						2	3	3	6	6	8	9	9	10	10						0	0	0	0	0	0	0	0	0	0
Lymphoma, AIDS-Related	MESH:D016483			3	3	4	5	6	6	8	8	9	10	10	10	10			33.3	33.3	25	40	33.3	33.3	25	25	22.2	20	20	20	20
Mydriasis	MESH:D015878		2	3	4	6	9	9	9	9	9	10	10	10	10	10		0	0	25	16.6	11.1	11.1	11.1	11.1	11.1	10	0	0	0	0
Arthritis, Gouty	MESH:D015210		2	3	4	7	8	8	9	9	10	10	10	10	10	10		0	0	0	28.5	25	25	22.2	22.2	20	20	20	20	20	20
Vision Disorders	MESH:D014786					2	2	3	4	5	6	6	8	9	10	10					0	0	0	50	40	33.3	33.3	25	22.2	20	20
Uterine Neoplasms	MESH:D014594					2	2	3	3	6	7	9	10	10	10	10					0	0	0	0	0	28.5	22.2	40	40	40	40
Thrombocythemia, Essential	MESH:D013920		2	2	3	3	3	3	3	6	8	9	9	9	10	10		0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synovitis	MESH:D013585		2	2	2	5	5	5	5	8	9	9	9	9	10	10		0	0	0	40	40	40	40	25	22.2	22.2	22.2	22.2	20	20
Surgical Wound Infection	MESH:D013530		2	3	3	3	3	4	5	9	9	9	9	10	10	10		0	0	0	0	0	0	20	44.4	44.4	44.4	44.4	50	50	50
Splenomegaly	MESH:D013163			2	2	2	2	3	3	5	5	6	8	8	10	10			0	0	0	0	0	0	0	0	0	0	0	10	10
Radiation Injuries	MESH:D011832	2	3	3	5	7	7	8	9	9	10	10	10	10	10	10	0	0	0	40	42.8	42.8	37.5	44.4	44.4	50	50	50	50	50	50
Pharyngitis	MESH:D010612				3	4	7	7	9	9	9	9	10	10	10	10				0	50	28.5	28.5	22.2	22.2	22.2	22.2	20	10	10	10
Oligospermia	MESH:D009845	3	3	3	5	5	5	5	7	8	8	9	9	10	10	10	0	0	0	0	0	0	0	0	0	0	11.1	11.1	10	10	10
Neuroleptic Malignant Syndrome	MESH:D009459				2	4	4	7	9	9	9	9	9	10	10	10				0	25	25	57.1	33.3	33.3	22.2	22.2	22.2	30	30	30
Myocarditis	MESH:D009205	2	3	4	4	5	7	7	8	9	9	9	10	10	10	10	0	0	0	0	0	14.2	0	0	22.2	22.2	22.2	20	20	20	20
Leishmaniasis	MESH:D007896	4	4	4	4	4	4	4	6	7	8	8	8	9	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Infertility, Male	MESH:D007248	4	4	4	5	5	6	6	7	7	8	9	10	10	10	10	0	0	0	0	0	0	0	0	0	25	22.2	20	20	20	20
Hypoglycemia	MESH:D007003		2	2	4	4	6	7	7	7	7	7	9	10	10	10		0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hypertension, Portal	MESH:D006975	2	2	2	3	3	6	6	6	7	9	9	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyperlipoproteinemias	MESH:D006951		2	2	4	5	6	6	6	8	8	9	9	10	10	10		0	0	0	20	50	50	50	37.5	37.5	22.2	22.2	20	20	20
Fish Diseases	MESH:D005393	3	3	3	5	5	5	5	6	6	6	7	7	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibromyalgia	MESH:D005356				2	3	3	3	3	4	6	8	9	10	10	10				0	0	0	0	0	0	0	0	0	0	0	0
Fatigue	MESH:D005221					2	2	4	5	6	7	8	9	10	10	10					0	0	0	0	0	0	0	0	0	0	0
Exanthema	MESH:D005076		2	2	2	4	6	7	7	8	8	8	9	10	10	10		0	0	0	0	16.6	0	0	0	0	0	0	10	10	10
Epilepsy, Temporal Lobe	MESH:D004833				2	5	5	6	9	10	10	10	10	10	10	10				0	0	0	0	44.4	50	40	40	30	30	30	30
Drug Eruptions	MESH:D003875			2	3	5	9	9	9	9	9	9	10	10	10	10			0	0	20	33.3	33.3	33.3	33.3	33.3	33.3	30	30	30	30
Cushing Syndrome	MESH:D003480			2	2	5	6	6	7	7	7	7	8	9	10	10			0	0	0	0	0	28.5	28.5	28.5	28.5	12.5	11.1	10	10
Coronary Vasospasm	MESH:D003329	3	3	5	7	8	8	9	10	10	10	10	10	10	10	10	0	0	40	28.5	25	25	22.2	20	20	20	20	20	20	20	20
Constipation	MESH:D003248			2	2	5	5	6	8	8	9	10	10	10	10	10			0	0	0	0	0	25	25	22.2	20	20	20	20	20
Carcinoma, Bronchogenic	MESH:D002283						2	2	2	6	6	8	8	9	10	10						0	0	0	33.3	33.3	50	50	44.4	40	40
Bronchopneumonia	MESH:D001996	2	4	4	4	5	5	6	6	7	8	9	9	10	10	10	0	0	0	0	0	0	0	0	0	25	22.2	22.2	30	30	30
Behcet Syndrome	MESH:D001528					3	4	4	5	7	8	8	9	9	10	10					0	25	0	0	0	0	0	0	0	0	0
Aspergillosis	MESH:D001228					2	2	3	4	4	7	8	10	10	10	10					0	0	0	50	50	57.1	75	70	70	60	60
Arthritis, Juvenile	MESH:D001171				2	3	6	6	7	9	10	10	10	10	10	10				0	0	66.6	50	42.8	33.3	30	30	30	30	30	30
Abnormalities, Drug-Induced	MESH:D000014	3	3	3	6	7	8	9	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nociceptive Pain	MESH:D059226	2	2	2	3	4	6	6	7	7	7	7	8	9	9	9	0	0	0	0	25	16.6	16.6	28.5	28.5	28.5	28.5	37.5	33.3	33.3	33.3
Aberrant Crypt Foci	MESH:D058739	3	3	3	4	6	6	7	7	7	7	7	8	9	9	9	0	0	0	0	33.3	33.3	28.5	28.5	28.5	28.5	28.5	25	22.2	22.2	22.2
Atrioventricular Block	MESH:D054537			2	2	2	3	3	5	8	9	9	9	9	9	9			0	0	0	0	0	0	25	33.3	33.3	33.3	33.3	33.3	33.3
Hypoalphalipoproteinemias	MESH:D052456				3	3	5	6	6	8	8	8	8	9	9	9				0	0	0	16.6	16.6	25	25	25	25	22.2	22.2	22.2
Mucositis	MESH:D052016	2	2	2	3	5	5	7	7	7	8	8	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	22.2	22.2	22.2	22.2
Premature Birth	MESH:D047928		2	2	4	5	6	6	9	9	9	9	9	9	9	9		0	0	25	20	50	50	55.5	55.5	55.5	55.5	55.5	44.4	44.4	44.4
Sphincter of Oddi Dysfunction	MESH:D046628					3	3	4	5	7	8	8	9	9	9	9					0	0	0	40	57.1	50	50	44.4	44.4	44.4	44.4
Hypertension, Pregnancy-Induced	MESH:D046110				2	6	6	6	7	8	8	8	9	9	9	9				0	0	0	0	0	0	0	0	0	0	0	0
Hyperammonemia	MESH:D022124					2	2	3	5	5	6	6	7	8	9	9					0	0	0	20	20	50	50	42.8	50	66.6	66.6
Diabetes Insipidus, Nephrogenic	MESH:D018500			2	2	5	8	8	8	9	9	9	9	9	9	9			0	0	0	25	25	25	22.2	22.2	22.2	22.2	22.2	22.2	22.2
Coronavirus Infections	MESH:D018352	2	2	2	2	2	4	4	6	6	7	7	7	8	9	9	0	0	0	0	0	0	0	16.6	16.6	14.2	14.2	14.2	12.5	11.1	11.1
Carcinoma, Ductal, Breast	MESH:D018270			2	2	3	4	4	5	8	8	8	9	9	9	9			0	0	0	0	0	0	25	25	25	22.2	22.2	22.2	22.2
Bronchial Hyperreactivity	MESH:D016535		2	2	4	5	6	8	9	9	9	9	9	9	9	9		0	0	0	0	0	37.5	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3
Arthritis, Psoriatic	MESH:D015535					3	3	3	4	7	8	8	8	8	9	9					0	0	0	0	28.5	25	25	25	25	22.2	22.2
Granulomatosis with Polyangiitis	MESH:D014890					3	4	4	4	8	9	9	9	9	9	9					0	0	0	0	25	22.2	22.2	22.2	22.2	22.2	22.2
Vasculitis	MESH:D014657		2	2	2	4	6	6	7	9	9	9	9	9	9	9		0	0	0	50	50	33.3	28.5	44.4	44.4	44.4	44.4	44.4	44.4	44.4
Tic Disorders	MESH:D013981				2	4	5	6	6	6	6	7	7	8	8	9				0	0	0	0	0	0	0	0	0	0	0	0
Tachycardia, Paroxysmal	MESH:D013614	3	3	4	4	4	4	5	6	7	8	8	8	8	9	9	0	0	0	0	0	0	20	16.6	14.2	12.5	12.5	0	0	0	0
Spinal Cord Diseases	MESH:D013118	2	2	2	5	6	6	7	7	8	8	8	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	22.2	22.2	22.2	22.2
Spasms, Infantile	MESH:D013036						2	4	8	9	9	9	9	9	9	9						0	25	75	66.6	55.5	55.5	33.3	33.3	33.3	33.3
Sjogren's Syndrome	MESH:D012859		2	2	3	3	4	4	6	8	8	9	9	9	9	9		0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shock, Hemorrhagic	MESH:D012771	2	3	5	5	5	5	6	7	7	8	8	8	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shock	MESH:D012769						3	4	5	6	8	8	8	8	9	9						0	0	20	16.6	37.5	37.5	37.5	37.5	33.3	33.3
Pneumonia, Staphylococcal	MESH:D011023			2	2	2	2	4	5	6	6	8	8	9	9	9			100	100	100	100	50	40	16.6	16.6	12.5	12.5	33.3	33.3	33.3
Pneumonia, Pneumocystis	MESH:D011020					2	4	4	7	9	9	9	9	9	9	9					0	0	0	0	22.2	22.2	22.2	22.2	22.2	22.2	22.2
Pemphigoid, Bullous	MESH:D010391				2	4	5	5	5	8	8	8	9	9	9	9				0	50	40	40	40	25	25	25	22.2	22.2	22.2	22.2
Pancytopenia	MESH:D010198	3	4	4	4	4	5	5	6	7	8	8	9	9	9	9	66.6	75	75	75	75	80	80	50	42.8	62.5	62.5	55.5	55.5	55.5	55.5
Neoplasm Recurrence, Local	MESH:D009364			2	3	3	4	5	5	7	8	8	8	8	9	9			0	0	0	0	0	0	0	0	0	0	0	0	0
Meningitis, Pneumococcal	MESH:D008586						2	5	5	5	6	7	7	9	9	9						0	0	0	0	0	28.5	28.5	44.4	44.4	44.4
Lymphatic Diseases	MESH:D008206		2	3	3	3	3	4	4	6	7	8	8	8	9	9		0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lupus Nephritis	MESH:D008181					3	4	5	5	7	8	8	8	8	9	9					0	25	60	60	57.1	50	50	37.5	37.5	33.3	33.3
